Type,Jour,Mois,An,Transect,Repetition,Nom_sientifique,Genus,Spp,Nom_vernaculari,N_ind,N_juv,N_ad,N_m,N_f,Angle,Dis,Habitat
Diurnal,16,12,2020,1,1,Propithecus_candidus,Propithecus,candidus,Simpona,3,1,2,1,1,60,8,Primary
Diurnal,16,12,2020,2,1,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,0,2,1,1,30,20,Primary
Diurnal,17,12,2020,1,2,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,18,12,2020,2,2,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,18,12,2020,2,2,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,19,12,2020,1,3,Propithecus_candidus,Propithecus,candidus,Simpona,3,1,2,1,1,20,25,Primary
Diurnal,19,12,2020,1,3,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,21,12,2020,2,3,Eulemur_albifrons,Eulemur,albifrons,Akomba Fotsy Loha,6,1,5,2,3,30,20,Primary
Diurnal,12,6,2022,2,4,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,13,6,2022,1,4,Eulemur_albifrons,Eulemur,albifrons,Akomba Fotsy Loha,6,1,NA,3,3,70,20,Primary
Diurnal,13,6,2022,1,4,Hapalemur_occidentalis,Hapalemur,occidentalis,Bokombolo,3,NA,NA,NA,NA,20,10,Primary
Diurnal,13,6,2022,3,1,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,14,6,2022,2,5,Eulemur_albifrons,Eulemur,albifrons,Akomba Fotsy Loha,NA,NA,NA,1,NA,70,16,Primary
Diurnal,14,6,2022,1,5,Propithecus_candidus,Propithecus,candidus,NA,3,NA,NA,1,2,80,20,Primary
Diurnal,14,6,2022,1,5,Hapalemur_occidentalis,Hapalemur,occidentalis,Bokombolo,1,NA,NA,NA,NA,20,15,Primary
Diurnal,15,6,2022,3,2,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,1,NA,NA,1,NA,60,18,Primary
Diurnal,15,6,2022,2,6,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,16,6,2022,1,6,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,16,6,2022,3,3,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,4,NA,NA,1,3,70,12,Primary
Diurnal,16,6,2022,3,3,Hapalemur_occidentalis,Hapalemur,occidentalis,Bokombolo,5,NA,NA,NA,NA,80,15,Primary
Diurnal,17,6,2022,2,7,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,17,6,2022,1,7,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,18,6,2022,3,4,Propithecus_candidus,Propithecus,candidus,Simpona,2,1,NA,1,1,0,0,Primary
Diurnal,18,6,2022,3,4,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,1,NA,1,1,90,23,Primary
Diurnal,18,6,2022,2,8,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,20,6,2022,1,8,Propithecus_candidus,Propithecus,candidus,Simpona,3,NA,NA,1,2,0,0,Primary
Diurnal,20,6,2022,3,5,Eulemur_albifrons,Eulemur,albifrons,Akomba Fotsy Loha,5,NA,NA,1,4,100,15,Primary
Diurnal,20,6,2022,3,5,Hapalemur_occidentalis,Hapalemur,occidentalis,Bokombolo,NA,NA,NA,NA,NA,NA,NA,Primary
Diurnal,22,6,2022,2,9,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,3,NA,NA,1,2,90,8,Primary
Diurnal,22,6,2022,1,9,Propithecus_candidus,Propithecus,candidus,Simpona,3,NA,NA,1,2,0,0,Primary
Diurnal,23,6,2022,4,1,Eulemur_albifrons,Eulemur,albifrons,Akomba Fotsy Loha,6,NA,NA,3,3,300,10,Primary
Diurnal,23,6,2022,3,6,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,1,NA,1,1,290,10,Primary
Diurnal,23,6,2022,3,6,Eulemur_albifrons,Eulemur,albifrons,Akomba Fotsy Loha,2,NA,NA,1,1,340,8,Primary
Diurnal,24,6,2022,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Primary
Diurnal,24,6,2022,1,10,Hapalemur_occidentalis,Hapalemur,occidentalis,Bokombolo,1,NA,NA,1,NA,90,10,Primary
Diurnal,24,6,2022,1,10,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,NA,NA,1,1,320,12,Primary
Diurnal,24,6,2022,1,10,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,NA,NA,1,1,80,8,Primary
Diurnal,25,6,2022,3,7,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,27,6,2022,3,8,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,1,NA,NA,1,NA,90,15,Primary
Diurnal,28,6,2022,1,11,Propithecus_candidus,Propithecus,candidus,Simpona,1,NA,NA,NA,NA,288,20,Primary
Diurnal,28,6,2022,2,11,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,30,6,2022,4,2,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
diurnal,26,7,2023,2,11,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,1,7,2022,3,9,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,30,6,2022,2,12,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,2,7,2022,1,12,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,4,NA,NA,2,2,0,2,Primary
Diurnal,3,7,2022,4,3,Propithecus_candidus,Propithecus,candidus,Simpona,2,0,NA,1,1,0,2,Primary
Diurnal,4,7,2022,1,13,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
diurnal,28,7,2023,2,12,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,0,2,1,1,90,15,Primary
Diurnal,5,7,2022,3,10,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,5,7,2022,4,4,Propithecus_candidus,Propithecus,candidus,Simpona,3,NA,NA,1,2,0,0,Primary
Diurnal,1,7,2022,2,13,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,7,7,2022,4,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,7,7,2022,3,11,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,4,7,2022,2,13,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,8,7,2022,1,14,Propithecus_candidus,Propithecus,candidus,Simpona,3,NA,NA,1,2,320,10,Primary
Diurnal,27,6,2023,4,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,11,7,2022,1,15,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,29,7,2023,2,13,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,9,7,2022,4,6,Eulemur_albifrons,Eulemur,albifrons,Akomba Fotsy Loha,5,NA,NA,2,3,300,10,Primary
Diurnal,12,7,2022,3,12,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,13,7,2022,1,16,Hapalemur_occidentalis,Hapalemur,occidentalis,Bokombolo,1,NA,NA,NA,NA,60,20,Primary
Diurnal,6,7,2022,2,15,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,NA,NA,NA,1,NA,0,0,Primary
Diurnal,1,7,2023,4,6,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,14,7,2022,3,13,NA,NA,NA,NA,0,0,0,0,0,NA,0,Primary
Diurnal,8,7,2022,2,16,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,11,7,2022,2,17,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,15,7,2022,1,17,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,16,7,2022,3,14,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,12,7,2022,4,7,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,13,7,2022,2,18,NA,NA,NA,NA,0,0,0,0,0,NA,0,Primary
Diurnal,18,7,2022,1,18,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,6,7,2023,4,7,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,3,1,2,1,1,90,25,Primary
Diurnal,25,7,2023,3,14,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,0,2,1,1,181,21,Primary
Diurnal,15,7,2022,2,19,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,1,NA,NA,1,NA,0,0,Primary
Diurnal,20,7,2022,1,19,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,NA,NA,1,1,0,0,Primary
Diurnal,25,7,2023,3,14,Hapalemur_occidentalis,Hapalemur,occidentalis,Bokombolo,2,0,2,NA,NA,40,25,Primary
Diurnal,6,7,2023,4,7,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,3,1,2,1,1,90,30,Primary
Diurnal,22,7,2022,1,20,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,15,7,2022,2,19,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,NA,NA,NA,NA,90,20,Primary
Diurnal,25,7,2023,3,14,Eulemur_albifrons,Eulemur,albifrons,Akomba Fotsy Loha,3,1,2,1,2,0,0,Primary
Diurnal,14,7,2022,4,8,NA,NA,NA,NA,0,0,0,0,0,NA,0,Primary
Diurnal,7,7,2023,4,8,NA,NA,NA,NA,0,0,0,0,0,NA,NA,Primary
Diurnal,25,7,2022,1,21,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,2,NA,NA,1,1,0,0,Primary
Diurnal,25,7,2022,1,21,Propithecus_candidus,Propithecus,candidus,Simpona,3,NA,NA,1,2,90,7,Primary
