"","Akomba","Bokombolo","Fitsidika","Fotsife","Kandrandra","Simpona","Tongono","Tsidy","Tsitsihy"
"Albizia",0,0,0,0,0,25.8620689655172,0,0,0
"Allophylus",0,0,0,56.8965517241379,0,0,24.8275862068966,0,0
"Aphloia",0,0,0,0,0,41.3793103448276,0,0,0
"Calophyllum",593.103448275862,0,1245.51724137931,0,1690.34482758621,0,711.724137931034,1660.68965517241,4863.44827586207
"Campylospermum",0,0,0,18.9655172413793,0,0,0,0,0
"Canarium",0,403.103448275862,2418.62068965517,3167.24137931034,3282.41379310345,863.793103448276,0,3224.8275862069,9444.13793103448
"Canthium",0,0,0,3337.93103448276,0,0,1456.55172413793,0,0
"Cinnamosma",0,0,0,0,0,0,41.3793103448276,0,0
"Cryptocarya",0,0,0,0,0,0,5271.72413793103,0,0
"Dichaetanthera",0,0,0,379.310344827586,0,0,0,0,0
"Diospyros",0,0,0,0,0,0,0,868.965517241379,0
"Dracaena",0,0,0,0,0,310.344827586207,0,0,0
"Dypsis",0,591.379310344828,0,0,0,0,0,0,0
"Eugenia",0,0,0,37.9310344827586,0,10.3448275862069,16.551724137931,0,0
"Ficus",0,0,0,0,0,25.8620689655172,41.3793103448276,0,0
"Gaertnera",0,0,0,2275.86206896552,0,0,0,0,6786.20689655172
"Gambeya",0,12.0689655172414,0,94.8275862068965,0,25.8620689655172,0,0,282.758620689655
"Garcinia",0,400.689655172414,0,3148.27586206897,0,858.620689655172,0,0,0
"Grewia",0,0,0,0,0,0,488.275862068966,0,0
"Harungana",103.448275862069,0,0,284.48275862069,0,77.5862068965517,0,289.655172413793,0
"Mammea",0,0,0,0,0,284.48275862069,455.172413793103,0,0
"Mascarenhasia",255.172413793103,89.3103448275862,0,0,0,191.379310344828,306.206896551724,0,0
"Mimusops",0,0,0,0,0,77.5862068965517,0,0,0
"Noronhia",0,0,0,0,0,5.17241379310345,0,0,0
"Oncostemum",0,0,0,1043.10344827586,0,284.48275862069,455.172413793103,0,0
"Pauridiantha",75.8620689655172,26.551724137931,0,0,0,56.8965517241379,91.0344827586207,0,0
"Phyllarthron",117.241379310345,41.0344827586207,0,0,0,0,0,0,0
"Pittosporum",0,0,0,341.379310344828,0,0,0,0,0
"Polyscias",0,0,0,0,0,1722.41379310345,0,0,0
"Potameia",0,0,0,0,0,0,1233.10344827586,0,0
"Ravenala",34.4827586206897,0,0,0,0,0,0,0,282.758620689655
"Symphonia",1068.96551724138,374.137931034483,0,2939.65517241379,0,801.724137931035,1282.75862068966,0,0
"Syzygium",0,0,0,0,0,4675.86206896552,0,0,0
"Tambourissa",0,0,0,0,0,982.758620689655,1572.41379310345,0,0
"Turraea",0,0,0,0,0,0,99.3103448275862,0,0
"Uapaca",0,0,0,1346.55172413793,0,0,0,0,0
"Weinmannia",0,0,0,0,0,0,761.379310344828,0,0
