"","Akomba","Bokombolo","Fitsidika","Fotsife","Kandrandra","Tsidy","Tsitsihy"
"Abrahamia",4.5,3.5,10,8.5,21.5,36.5,64.5
"Aphloia",13.5,10.5,30,25.5,64.5,109.5,193.5
"Artocarpus",0,10.5,0,0,0,0,193.5
"Breonia",4.5,3.5,10,0,0,36.5,0
"Bridelia",13.5,10.5,0,0,0,0,193.5
"Calophyllum",9,7,20,17,43,73,129
"Campnosperma",4.5,3.5,10,8.5,21.5,36.5,64.5
"Canarium",18,14,40,34,86,146,258
"Canthium",0,0,0,0,0,109.5,0
"Cryptocarya",387,301,860,731,1849,3139,5547
"Diospyros",9,7,20,17,43,73,129
"Dracaena",45,35,100,0,215,365,645
"Dypsis",0,0,20,0,43,73,129
"Ephippiandra",9,0,0,0,0,0,0
"Ficus",58.5,45.5,130,110.5,279.5,474.5,838.5
"Gambeya",99,77,220,187,473,803,1419
"Garcinia",72,56,160,136,344,584,1032
"Grewia",22.5,17.5,0,42.5,0,0,0
"Hyperacanthus",18,14,40,34,86,146,258
"Ludia",27,21,60,51,129,0,387
"Macaranga",301.5,0,0,0,0,0,0
"Oncostemum",0,14,0,0,0,146,0
"Plagioscyphus",9,7,0,17,43,0,129
"Polyscias",76.5,59.5,170,144.5,365.5,620.5,1096.5
"Potameia",27,21,60,51,129,219,387
"Solanum",810,630,1800,1530,3870,6570,11610
"Symphonia",18,14,40,34,86,146,258
"Syzygium",135,105,300,255,645,1095,1935
"Tambourissa",108,84,240,204,516,876,1548
"Trema",0,0,0,0,10341.5,17556.5,31024.5
"Trilepisium",22.5,17.5,50,42.5,107.5,182.5,322.5
"Trophis",76.5,59.5,170,144.5,365.5,620.5,1096.5
"Weinmannia",13.5,10.5,30,25.5,64.5,109.5,193.5
"Zanthoxylum",4.5,3.5,10,8.5,21.5,36.5,64.5
