"","Habitat","Simulation_ID","Estimate","lemur"
"1","Primary",1,40.7720207253886,"A. laniger"
"2","Primary",10,37.5958549222798,"A. laniger"
"3","Primary",100,42.6321243523316,"A. laniger"
"4","Primary",11,39.6683937823834,"A. laniger"
"5","Primary",12,36.1917098445596,"A. laniger"
"6","Primary",13,35.3056994818653,"A. laniger"
"7","Primary",14,35.0414507772021,"A. laniger"
"8","Primary",15,40.740932642487,"A. laniger"
"9","Primary",16,36.5233160621762,"A. laniger"
"10","Primary",17,39.5181347150259,"A. laniger"
"11","Primary",18,32.9689119170984,"A. laniger"
"12","Primary",19,37.1865284974093,"A. laniger"
"13","Primary",2,35.4455958549223,"A. laniger"
"14","Primary",20,34.5233160621762,"A. laniger"
"15","Primary",21,38.1088082901554,"A. laniger"
"16","Primary",22,39.6269430051813,"A. laniger"
"17","Primary",23,38.1502590673575,"A. laniger"
"18","Primary",24,37.0362694300518,"A. laniger"
"19","Primary",25,39.8186528497409,"A. laniger"
"20","Primary",26,42.1502590673575,"A. laniger"
"21","Primary",27,36.8134715025907,"A. laniger"
"22","Primary",28,38.3367875647668,"A. laniger"
"23","Primary",29,36.6269430051813,"A. laniger"
"24","Primary",3,37.7772020725389,"A. laniger"
"25","Primary",30,39.2279792746114,"A. laniger"
"26","Primary",31,37.1865284974093,"A. laniger"
"27","Primary",32,38.7046632124352,"A. laniger"
"28","Primary",33,38.7461139896373,"A. laniger"
"29","Primary",34,39.7461139896373,"A. laniger"
"30","Primary",35,38.259067357513,"A. laniger"
"31","Primary",36,37.6373056994819,"A. laniger"
"32","Primary",37,39.559585492228,"A. laniger"
"33","Primary",38,39.0051813471503,"A. laniger"
"34","Primary",39,38.8497409326425,"A. laniger"
"35","Primary",4,40.0051813471503,"A. laniger"
"36","Primary",40,43.4455958549223,"A. laniger"
"37","Primary",41,37.8238341968912,"A. laniger"
"38","Primary",42,37.8134715025907,"A. laniger"
"39","Primary",43,39.3316062176166,"A. laniger"
"40","Primary",44,38.2953367875648,"A. laniger"
"41","Primary",45,37.2953367875648,"A. laniger"
"42","Primary",46,40.8186528497409,"A. laniger"
"43","Primary",47,37.300518134715,"A. laniger"
"44","Primary",48,35.7461139896373,"A. laniger"
"45","Primary",49,38.3730569948187,"A. laniger"
"46","Primary",5,37.4507772020725,"A. laniger"
"47","Primary",50,40.4093264248705,"A. laniger"
"48","Primary",51,39.9637305699482,"A. laniger"
"49","Primary",52,37.4093264248705,"A. laniger"
"50","Primary",53,37.6683937823834,"A. laniger"
"51","Primary",54,39.259067357513,"A. laniger"
"52","Primary",55,42,"A. laniger"
"53","Primary",56,38.0777202072539,"A. laniger"
"54","Primary",57,36.7823834196891,"A. laniger"
"55","Primary",58,39.9274611398964,"A. laniger"
"56","Primary",59,41.3678756476684,"A. laniger"
"57","Primary",6,40.0777202072539,"A. laniger"
"58","Primary",60,40.1088082901554,"A. laniger"
"59","Primary",61,39.0051813471503,"A. laniger"
"60","Primary",62,37.6632124352332,"A. laniger"
"61","Primary",63,36.4507772020725,"A. laniger"
"62","Primary",64,38.1502590673575,"A. laniger"
"63","Primary",65,40.7823834196891,"A. laniger"
"64","Primary",66,39.1088082901554,"A. laniger"
"65","Primary",67,38.1865284974093,"A. laniger"
"66","Primary",68,40.7772020725389,"A. laniger"
"67","Primary",69,39.2227979274611,"A. laniger"
"68","Primary",7,35.8549222797927,"A. laniger"
"69","Primary",70,35.7772020725389,"A. laniger"
