"","Genus","meanWD"
"1","Albizia",0.556356916099773
"2","Allophylus",0.51775
"3","Antirhea",0.637445334781665
"4","Aphloia",0.6205
"5","Aspidostemon",0.564417570308376
"6","Breonadia",0.818
"7","Breonia",0.630380952380952
"8","Bridelia",0.555032738095238
"9","Burasaia",0.545
"10","Calophyllum",0.550163120567376
"11","Campnosperma",0.3758875
"12","Campylospermum",0.735092735042735
"13","Canarium",0.478005621794872
"14","Canthium",0.636677777777778
"15","Cinnamosma",0.736333333333333
"16","Cryptocarya",0.561295339412361
"17","Dalbergia",0.786836976911977
"18","Diospyros",0.683275126262626
"19","Dracaena",0.41825
"20","Dypsis",0.551760416666667
"21","Ephippiandra",0.5558125
"22","Eugenia",0.722760273972603
"23","Ficus",0.405534661835749
"24","Gambeya",0.714868811809291
"25","Garcinia",0.741621568627451
"26","Grewia",0.5580625
"27","Harungana",0.467
"28","Hyperacanthus",0.637445334781665
"29","Ludia",0.812
"30","Macaranga",0.382929166666667
"31","Mammea",0.778604166666667
"32","Mantalania",0.637445334781665
"33","Melanophylla",0.574817433052833
"34","Micronychia",0.566013283034659
"35","Mimusops",0.835037037037037
"36","Noronhia",0.756826492437604
"37","Oncostemum",0.63926798941799
"38","Pandanus",0.331
"39","Paropsia",0.675
"40","Pauridiantha",0.637445334781665
"41","Phyllarthron",0.73
"42","Pittosporum",0.6135
"43","Polyscias",0.381364583333333
"44","Potameia",0.711
"45","Symphonia",0.633128571428571
"46","Syzygium",0.664366666666667
"47","Tambourissa",0.5115
"48","Trilepisium",0.499
"49","Trophis",0.591166666666667
"50","Turraea",0.663
"51","Uapaca",0.626341558441558
"52","Voacanga",0.592856179202742
"53","Weinmannia",0.611854166666667
"54","Xylopia",0.591037654320988
"55","Zanthoxylum",0.617740728715729
"56","Abrahamia",0.566013283034659
"57","Artocarpus",0.486363636363636
"58","Plagioscyphus",0.734062972279183
"59","Solanum",0.411857142857143
"60","Trema",0.3422
"61","Baudouinia",0.702416608694313
"62","Canephora",0.637445334781665
"63","Mangifera",0.500529411764706
"64","Dichaetanthera",0.609413645224172
"65","Gaertnera",0.637445334781665
"66","Mascarenhasia",0.592856179202742
"67","Ravenala",0.574817433052833
