"","Habitat","Node","Dispersal","Predation","Folivory"
"1","Multilayer","E. albifrons",0.174,0.14,0.273
"2","Multilayer","H. occidentalis",0.077,0.116,0.255
"3","Multilayer","L. seali",0.214,0.207,0.235
"4","Multilayer","A. laniger",0.252,0.164,0.962
"5","Multilayer","A. trichotis",0.344,0.377,0.322
"6","Multilayer","E. rubriventer",0.151,0.055,0.504
"7","Multilayer","M. lehilahytsara",0.48,0.404,0.797
"8","Multilayer","C. crossleyi",1,1,1
"9","Multilayer","P. candidus",NA,0.067,0.447
"10","Primary","E. albifrons",0.038,0.011,0.02
"11","Primary","H. occidentalis",0.013,0.013,0.026
"12","Primary","L. seali",0.041,0.014,0.009
"13","Primary","A. laniger",0.064,0.017,0.075
"14","Primary","A. trichotis",0.059,0.074,0.027
"15","Primary","E. rubriventer",0.041,0.017,0.073
"16","Primary","M. lehilahytsara",0.051,0.052,0.027
"17","Primary","C. crossleyi",0.165,0.249,0.152
"18","Secondary","E. albifrons",0.027,0.011,0.021
"19","Secondary","H. occidentalis",0.021,0.018,0.031
"20","Secondary","L. seali",0.033,0.011,0.008
"21","Secondary","A. laniger",0.024,0.013,0.045
"22","Secondary","A. trichotis",0.068,0.065,0.068
"23","Secondary","M. lehilahytsara",0.103,0.083,0.065
"24","Secondary","C. crossleyi",0.197,0.273,0.239
"25","Primary","P. candidus",NA,0.027,0.063
