"","Node","SecondaryForestModuleID","PrimaryForestModuleID"
"1","Akomba",6,6
"2","Bokombolo",5,5
"3","Fitsidika",4,4
"4","Fotsife",3,3
"5","Kandrandra",2,2
"6","R1",6,NA
"7","R10",2,1
"8","R11",1,1
"9","R12",1,NA
"10","R13",3,NA
"11","R14",5,5
"12","R15",5,1
"13","R16",2,2
"14","R17",4,5
"15","R18",NA,1
"16","R19",5,6
"17","R2",4,6
"18","R20",4,2
"19","R21",4,4
"20","R22",NA,1
"21","R23",6,NA
"22","R24",1,1
"23","R25",1,NA
"24","R26",NA,1
"25","R27",NA,4
"26","R28",4,NA
"27","R29",6,1
"28","R3",2,NA
"29","R30",NA,1
"30","R31",2,2
"31","R32",5,5
"32","R33",NA,1
"33","R34",1,1
"34","R35",1,NA
"35","R36",4,NA
"36","R37",6,NA
"37","R38",3,NA
"38","R39",2,NA
"39","R4",1,2
"40","R41",3,NA
"41","R42",4,NA
"42","R43",1,NA
"43","R44",3,NA
"44","R46",1,NA
"45","R47",1,NA
"46","R48",4,NA
"47","R49",1,NA
"48","R5",5,4
"49","R50",1,NA
"50","R51",3,NA
"51","R52",5,NA
"52","R53",1,NA
"53","R54",1,NA
"54","R55",3,NA
"55","R6",1,1
"56","R7",NA,2
"57","R8",1,NA
"58","R9",3,NA
"59","Tongono",4,NA
"60","Tsidy",1,1
"61","Tsitsihy",1,1
