"","Node","SecondaryForestModuleID","PrimaryForestModuleID"
"1","E. albifrons",5,5
"2","H. occidentalis",6,6
"3","L. seali",1,1
"4","A. laniger",3,3
"5","A. trichotis",2,2
"6","R1",6,3
"7","R10",4,1
"8","R11",NA,2
"9","R12",1,NA
"10","R13",1,1
"11","R14",NA,1
"12","R15",4,NA
"13","R16",6,1
"14","R17",NA,1
"15","R18",4,5
"16","R19",1,1
"17","R2",1,3
"18","R20",1,2
"19","R21",NA,5
"20","R22",4,1
"21","R23",3,1
"22","R24",4,1
"23","R25",3,NA
"24","R26",1,NA
"25","R27",1,NA
"26","R29",1,NA
"27","R3",4,1
"28","R30",4,NA
"29","R31",4,NA
"30","R4",2,6
"31","R5",NA,1
"32","R6",3,1
"33","R7",1,1
"34","R8",3,1
"35","R9",1,6
"36","P. candidus",4,NA
"37","E. rubriventer",4,NA
"38","M. lehilahytsara",1,1
"39","C. crossleyi",1,1
