"","Habitat","Interaction","Variable","Estimate","Std. Error","Pr(>|t|)"
"(Intercept)","Multilayer","Dispersal","(Intercept)",-3.711,0.102,0
"FruitLength","Multilayer","Dispersal","FruitLength",-0.093,0.146,0.528
"DBH","Multilayer","Dispersal","DBH",-0.056,0.088,0.528
"meanWD","Multilayer","Dispersal","meanWD",-0.213,0.089,0.02
"EndemicYes","Multilayer","Dispersal","EndemicYes",-0.489,0.217,0.028
"(Intercept)1","Multilayer","Predation","(Intercept)",-3.303,0.199,0
"mass","Multilayer","Predation","mass",-0.013,0.121,0.915
"DBH1","Multilayer","Predation","DBH",-0.124,0.094,0.196
"meanWD1","Multilayer","Predation","meanWD",-0.225,0.133,0.101
"EndemicYes1","Multilayer","Predation","EndemicYes",-0.451,0.303,0.146
"(Intercept)2","Multilayer","Herbivory","(Intercept)",-2.7,0.203,0
"meanWD2","Multilayer","Herbivory","meanWD",-0.355,0.119,0.005
"EndemicYes2","Multilayer","Herbivory","EndemicYes",-0.266,0.294,0.373
"DBH2","Multilayer","Herbivory","DBH",-0.059,0.167,0.727
"(Intercept)3","Primary","Dispersal","(Intercept)",-5.095,0.147,0
"FruitLength1","Primary","Dispersal","FruitLength",0.019,0.211,0.927
"DBH3","Primary","Dispersal","DBH",-0.019,0.123,0.881
"meanWD3","Primary","Dispersal","meanWD",-0.215,0.134,0.114
"EndemicYes3","Primary","Dispersal","EndemicYes",-0.625,0.323,0.059
"(Intercept)5","Primary","Predation","(Intercept)",-4.606,0.211,0
"mass1","Primary","Predation","mass",0.084,0.176,0.637
"DBH5","Primary","Predation","DBH",-0.132,0.139,0.352
"meanWD5","Primary","Predation","meanWD",-0.037,0.204,0.857
"EndemicYes5","Primary","Predation","EndemicYes",-0.396,0.469,0.406
"(Intercept)7","Primary","Herbivory","(Intercept)",-4.701,0.168,0
"meanWD7","Primary","Herbivory","meanWD",-0.233,0.171,0.181
"EndemicYes7","Primary","Herbivory","EndemicYes",-0.324,0.409,0.434
"DBH7","Primary","Herbivory","DBH",0.091,0.228,0.693
"(Intercept)4","Secondary","Dispersal","(Intercept)",-4.922,0.189,0
"FruitLength2","Secondary","Dispersal","FruitLength",-0.003,0.401,0.995
"DBH4","Secondary","Dispersal","DBH",-0.547,0.412,0.195
"meanWD4","Secondary","Dispersal","meanWD",-0.267,0.16,0.105
"EndemicYes4","Secondary","Dispersal","EndemicYes",-0.603,0.424,0.165
"(Intercept)6","Secondary","Predation","(Intercept)",-4.489,0.368,0
"mass2","Secondary","Predation","mass",-0.037,0.147,0.803
"DBH6","Secondary","Predation","DBH",-0.662,0.338,0.065
"meanWD6","Secondary","Predation","meanWD",-0.349,0.212,0.115
"EndemicYes6","Secondary","Predation","EndemicYes",-0.5,0.513,0.342
"(Intercept)8","Secondary","Herbivory","(Intercept)",-4.534,0.258,0
"meanWD8","Secondary","Herbivory","meanWD",-0.857,0.264,0.007
"EndemicYes8","Secondary","Herbivory","EndemicYes",-0.717,0.551,0.218
"DBH8","Secondary","Herbivory","DBH",-0.931,0.486,0.079
