"","Habitat","Node","Dispersal","Predation","Folivory"
"1","Multilayer","Abrahamia",0.013,0.017,NA
"2","Multilayer","Albizia",0.013,NA,0.035
"3","Multilayer","Allophylus",0.013,NA,0.036
"4","Multilayer","Antirhea",0.013,0.017,NA
"5","Multilayer","Aphloia",0.016,NA,0.036
"6","Multilayer","Artocarpus",0.014,0.017,NA
"7","Multilayer","Aspidostemon",0.013,NA,NA
"8","Multilayer","Baudouinia",NA,0.019,NA
"9","Multilayer","Breonadia",0.014,NA,NA
"10","Multilayer","Breonia",0.014,NA,NA
"11","Multilayer","Bridelia",0.014,NA,NA
"12","Multilayer","Burasaia",0.013,0.017,NA
"13","Multilayer","Calophyllum",0.028,0.037,0.149
"14","Multilayer","Campnosperma",0.02,0.021,NA
"15","Multilayer","Campylospermum",0.013,0.017,0.035
"16","Multilayer","Canarium",0.043,0.045,0.294
"17","Multilayer","Canephora",NA,0.021,NA
"18","Multilayer","Canthium",0.021,NA,0.138
"19","Multilayer","Cinnamosma",0.013,NA,0.036
"20","Multilayer","Cryptocarya",0.171,0.176,0.187
"21","Multilayer","Dalbergia",0.013,NA,NA
"22","Multilayer","Dichaetanthera",NA,NA,0.051
"23","Multilayer","Diospyros",0.021,0.029,0.043
"24","Multilayer","Dracaena",0.026,NA,0.044
"25","Multilayer","Dypsis",0.046,0.037,0.054
"26","Multilayer","Ephippiandra",0.013,NA,NA
"27","Multilayer","Eugenia",0.013,0.017,0.036
"28","Multilayer","Ficus",0.022,0.023,0.036
"29","Multilayer","Gaertnera",NA,NA,0.132
"30","Multilayer","Gambeya",0.027,0.024,0.059
"31","Multilayer","Garcinia",0.05,0.057,0.138
"32","Multilayer","Grewia",0.017,0.018,0.049
"33","Multilayer","Harungana",0.013,0.264,0.574
"34","Multilayer","Hyperacanthus",0.044,0.03,NA
"35","Multilayer","Ludia",0.016,NA,NA
"36","Multilayer","Macaranga",0.016,NA,NA
"37","Multilayer","Mammea",0.022,NA,0.057
"38","Multilayer","Mangifera",NA,0.019,NA
"39","Multilayer","Mantalania",0.015,NA,NA
"40","Multilayer","Mascarenhasia",NA,NA,0.057
"41","Multilayer","Melanophylla",0.013,NA,NA
"42","Multilayer","Micronychia",0.013,NA,NA
"43","Multilayer","Mimusops",0.014,0.019,0.037
"44","Multilayer","Noronhia",0.013,0.017,0.035
"45","Multilayer","Oncostemum",0.016,0.017,0.076
"46","Multilayer","Pandanus",0.041,NA,NA
"47","Multilayer","Paropsia",0.013,0.017,NA
"48","Multilayer","Pauridiantha",0.013,NA,0.041
"49","Multilayer","Phyllarthron",0.016,0.02,0.038
"50","Multilayer","Pittosporum",0.013,NA,0.042
"51","Multilayer","Plagioscyphus",0.014,0.018,0.035
"52","Multilayer","Polyscias",0.078,NA,0.09
"53","Multilayer","Potameia",0.041,NA,0.07
"54","Multilayer","Ravenala",NA,NA,0.037
"55","Multilayer","Solanum",0.123,0.075,0.271
"56","Multilayer","Symphonia",0.041,0.043,0.185
"57","Multilayer","Syzygium",0.181,0.233,0.185
"58","Multilayer","Tambourissa",0.059,0.054,0.112
"59","Multilayer","Trema",0.237,0.105,NA
"60","Multilayer","Trilepisium",0.021,0.021,NA
"61","Multilayer","Trophis",0.039,0.038,NA
"62","Multilayer","Turraea",0.015,0.019,0.037
"63","Multilayer","Uapaca",0.025,0.033,0.059
"64","Multilayer","Voacanga",0.014,NA,NA
"65","Multilayer","Weinmannia",0.03,NA,0.056
"66","Multilayer","Xylopia",0.014,0.017,NA
"67","Multilayer","Zanthoxylum",0.014,NA,NA
