"","Habitat","Node","Dispersal","Predation","Folivory"
"1","Primary","Albizia",NA,NA,0.003
"2","Primary","Allophylus",NA,NA,0.003
"3","Primary","Antirhea",NA,0.003,NA
"4","Primary","Aphloia",0.003,NA,0.003
"5","Primary","Aspidostemon",0.003,NA,NA
"6","Primary","Baudouinia",0.003,0.003,0.005
"7","Primary","Breonadia",0.003,NA,NA
"8","Primary","Breonia",0.003,NA,0.003
"9","Primary","Bridelia",0.003,NA,0.003
"10","Primary","Burasaia",0.003,0.003,NA
"11","Primary","Calophyllum",0.007,0.014,0.021
"12","Primary","Campnosperma",0.005,0.004,NA
"13","Primary","Campylospermum",NA,0.003,0.003
"14","Primary","Canarium",0.021,0.028,0.084
"15","Primary","Canephora",NA,0.003,NA
"16","Primary","Canthium",NA,0.005,0.012
"17","Primary","Cinnamosma",0.003,0.003,0.003
"18","Primary","Cryptocarya",0.16,0.113,0.016
"19","Primary","Dalbergia",0.003,NA,NA
"20","Primary","Dichaetanthera",NA,NA,0.003
"21","Primary","Diospyros",0.006,0.008,0.009
"22","Primary","Dombeya",0.003,0.004,0.025
"23","Primary","Dracaena",0.004,0.005,0.003
"24","Primary","Dypsis",0.009,0.005,0.004
"25","Primary","Ephippiandra",0.003,NA,NA
"26","Primary","Eugenia",NA,0.003,0.003
"27","Primary","Fenerivia",0.003,0.003,NA
"28","Primary","Ficus",0.004,0.006,0.004
"29","Primary","Gaertnera",NA,NA,0.014
"30","Primary","Gambeya",0.003,0.004,0.005
"31","Primary","Garcinia",0.019,0.036,0.025
"32","Primary","Grewia",0.003,0.004,0.004
"33","Primary","Harungana",0.003,0.004,0.007
"34","Primary","Hyperacanthus",0.013,0.009,NA
"35","Primary","Ludia",0.003,NA,NA
"36","Primary","Macaranga",0.003,NA,NA
"37","Primary","Mammea",0.005,NA,0.004
"38","Primary","Mangifera",0.003,0.005,NA
"39","Primary","Mantalania",0.003,NA,NA
"40","Primary","Mascarenhasia",NA,NA,0.005
"41","Primary","Mimusops",0.003,0.003,0.004
"42","Primary","Noronhia",0.003,0.003,0.003
"43","Primary","Ocotea",0.009,0.021,0.019
"44","Primary","Oncostemum",0.003,0.003,0.006
"45","Primary","Pandanus",0.003,NA,0.025
"46","Primary","Paropsia",0.003,0.003,0.003
"47","Primary","Pauridiantha",NA,NA,0.004
"48","Primary","Phyllarthron",0.004,0.004,0.003
"49","Primary","Pittosporum",0.003,NA,0.003
"50","Primary","Polyscias",0.014,0.007,0.054
"51","Primary","Potameia",0.009,0.005,0.006
"52","Primary","Ravenala",NA,0.003,0.003
"53","Primary","Symphonia",0.021,0.018,0.049
"54","Primary","Syzygium",0.1,0.113,0.011
"55","Primary","Tambourissa",0.014,0.032,0.046
"56","Primary","Trilepisium",0.003,0.004,NA
"57","Primary","Trophis",0.006,0.01,NA
"58","Primary","Turraea",0.004,0.003,0.003
"59","Primary","Uapaca",0.013,0.009,0.005
"60","Primary","Voacanga",0.003,NA,NA
"61","Primary","Weinmannia",0.004,NA,0.005
"62","Primary","Xylopia",0.003,0.003,NA
"63","Primary","Zanthoxylum",0.003,0.003,NA
