"","Habitat","Node","Dispersal","Predation","Folivory"
"1","Secondary","Abrahamia",0.003,0.004,0.005
"2","Secondary","Allophylus",NA,NA,0.005
"3","Secondary","Aphloia",0.003,NA,NA
"4","Secondary","Artocarpus",0.003,0.005,0.005
"5","Secondary","Baudouinia",0.003,0.004,NA
"6","Secondary","Breonia",0.003,NA,0.005
"7","Secondary","Bridelia",0.003,NA,0.005
"8","Secondary","Calophyllum",0.004,0.004,0.005
"9","Secondary","Campnosperma",0.003,0.004,NA
"10","Secondary","Canarium",0.005,0.005,0.006
"11","Secondary","Canthium",NA,0.004,0.005
"12","Secondary","Cryptocarya",0.092,0.036,NA
"13","Secondary","Dichaetanthera",NA,NA,0.006
"14","Secondary","Diospyros",0.004,0.005,0.005
"15","Secondary","Dombeya",0.004,0.007,0.025
"16","Secondary","Dracaena",0.004,0.005,NA
"17","Secondary","Dypsis",0.003,0.004,0.005
"18","Secondary","Ephippiandra",0.003,NA,NA
"19","Secondary","Fenerivia",0.003,0.004,NA
"20","Secondary","Ficus",0.019,0.025,0.006
"21","Secondary","Gaertnera",NA,NA,0.005
"22","Secondary","Gambeya",0.019,0.015,0.014
"23","Secondary","Garcinia",0.01,0.012,0.006
"24","Secondary","Grewia",0.003,0.004,NA
"25","Secondary","Harungana",0.012,0.121,0.213
"26","Secondary","Hyperacanthus",0.004,0.004,NA
"27","Secondary","Ludia",0.003,NA,NA
"28","Secondary","Macaranga",0.007,NA,NA
"29","Secondary","Mangifera",0.003,0.004,NA
"30","Secondary","Ocotea",0.007,0.011,0.005
"31","Secondary","Oncostemum",0.003,0.004,0.005
"32","Secondary","Pauridiantha",NA,NA,0.005
"33","Secondary","Pittosporum",0.003,NA,0.005
"34","Secondary","Plagioscyphus",0.003,0.004,0.005
"35","Secondary","Polyscias",0.006,0.004,0.007
"36","Secondary","Potameia",0.004,0.004,NA
"37","Secondary","Solanum",0.138,0.112,0.156
"38","Secondary","Symphonia",0.005,0.005,0.005
"39","Secondary","Syzygium",0.017,0.015,NA
"40","Secondary","Tambourissa",0.009,0.013,0.008
"41","Secondary","Trema",0.088,0.065,NA
"42","Secondary","Trilepisium",0.004,0.004,NA
"43","Secondary","Trophis",0.006,0.006,NA
"44","Secondary","Voacanga",0.003,NA,NA
"45","Secondary","Weinmannia",0.003,NA,NA
"46","Secondary","Zanthoxylum",0.003,0.004,NA
